item_name,month,year,price
Black Gram,1,2016,168.48
Black Gram,2,2016,164.79
Black Gram,3,2016,162.12
Black Gram,4,2016,170.51
Black Gram,5,2016,162.68
Black Gram,6,2016,157.81
Black Gram,7,2016,199.92
Black Gram,8,2016,166.31
Black Gram,9,2016,168.19
Black Gram,10,2016,210.79
Black Gram,11,2016,177.82
Black Gram,12,2016,175.47
Black Gram,1,2017,202.22
Black Gram,2,2017,160.35
Black Gram,3,2017,170.8
Black Gram,4,2017,163.7
Black Gram,5,2017,161.29
Black Gram,6,2017,156.3
Black Gram,7,2017,178.93
Black Gram,8,2017,177.61
Black Gram,9,2017,153.91
Black Gram,10,2017,179.45
Black Gram,11,2017,141.6296794871795
Black Gram,12,2017,141.6296794871795
Black Gram,1,2018,163.34
Black Gram,2,2018,175.15
Black Gram,3,2018,169.74
Black Gram,4,2018,161.62
Black Gram,5,2018,154.77
Black Gram,6,2018,178.47
Black Gram,7,2018,154.85
Black Gram,8,2018,155.48
Black Gram,9,2018,164.15
Black Gram,10,2018,160.12
Black Gram,11,2018,141.6296794871795
Black Gram,12,2018,141.6296794871795
Black Gram,1,2019,165.83
Black Gram,2,2019,168.27
Black Gram,3,2019,167.43
Black Gram,4,2019,162.34
Black Gram,5,2019,164.99
Black Gram,6,2019,168.89
Black Gram,7,2019,169.27
Black Gram,8,2019,141.6296794871795
Black Gram,9,2019,141.6296794871795
Black Gram,10,2019,141.6296794871795
Black Gram,11,2019,141.6296794871795
Black Gram,12,2019,141.6296794871795
Black Gram,1,2014,169.35
Black Gram,2,2014,162.15
Black Gram,3,2014,161.48
Black Gram,4,2014,165.97
Black Gram,5,2014,166.39
Black Gram,6,2014,161.69
Black Gram,7,2014,159.51
Black Gram,8,2014,161.41
Black Gram,9,2014,162.77
Black Gram,10,2014,163.74
Black Gram,11,2014,163.7
Black Gram,12,2014,162.32
Black Gram,1,2013,173.49
Black Gram,2,2013,171.56
Black Gram,3,2013,159.55
Black Gram,4,2013,178.51
Black Gram,5,2013,175.11
Black Gram,6,2013,175.92
Black Gram,7,2013,171.61
Black Gram,8,2013,166.05
Black Gram,9,2013,165.24
Black Gram,10,2013,172.67
Black Gram,11,2013,172.31
Black Gram,12,2013,170.77
Black Gram,1,2012,162.97
Black Gram,2,2012,160.63
Black Gram,3,2012,161.17
Black Gram,4,2012,163.51
Black Gram,5,2012,172.25
Black Gram,6,2012,153.29
Black Gram,7,2012,168.44
Black Gram,8,2012,153.57
Black Gram,9,2012,158.94
Black Gram,10,2012,156.49
Black Gram,11,2012,154.61
Black Gram,12,2012,153.13
Black Gram,1,2011,136.73
Black Gram,2,2011,139.52
Black Gram,3,2011,139.64
Black Gram,4,2011,138.33
Black Gram,5,2011,137.99
Black Gram,6,2011,138.53
Black Gram,7,2011,144.26
Black Gram,8,2011,152.95
Black Gram,9,2011,167.58
Black Gram,10,2011,154.41
Black Gram,11,2011,158.16
Black Gram,12,2011,161.35
Black Gram,1,2010,134.7
Black Gram,2,2010,130.87
Black Gram,3,2010,127.92
Black Gram,4,2010,127.93
Black Gram,5,2010,127.96
Black Gram,6,2010,127.78
Black Gram,7,2010,129.35
Black Gram,8,2010,130.99
Black Gram,9,2010,130.8
Black Gram,10,2010,131.09
Black Gram,11,2010,131.63
Black Gram,12,2010,135.61
Black Gram,1,2009,130.72
Black Gram,2,2009,128.0
Black Gram,3,2009,126.76
Black Gram,4,2009,126.93
Black Gram,5,2009,127.28
Black Gram,6,2009,127.78
Black Gram,7,2009,133.79
Black Gram,8,2009,134.59
Black Gram,9,2009,135.0
Black Gram,10,2009,135.95
Black Gram,11,2009,138.38
Black Gram,12,2009,138.17
Black Gram,1,2008,127.07
Black Gram,2,2008,126.4
Black Gram,3,2008,134.14
Black Gram,4,2008,134.66
Black Gram,5,2008,133.84
Black Gram,6,2008,133.44
Black Gram,7,2008,134.81
Black Gram,8,2008,137.43
Black Gram,9,2008,138.51
Black Gram,10,2008,137.75
Black Gram,11,2008,135.82
Black Gram,12,2008,131.38
Black Gram,1,2007,142.99
Black Gram,2,2007,140.11
Black Gram,3,2007,131.6
Black Gram,4,2007,130.0
Black Gram,5,2007,128.76
Black Gram,6,2007,126.64
Black Gram,7,2007,127.25
Black Gram,8,2007,129.57
Black Gram,9,2007,130.57
Black Gram,10,2007,129.95
Black Gram,11,2007,131.04
Black Gram,12,2007,130.65
Black Gram,1,2006,105.05
Black Gram,2,2006,103.81
Black Gram,3,2006,101.96
Black Gram,4,2006,105.6
Black Gram,5,2006,109.63
Black Gram,6,2006,114.82
Black Gram,7,2006,115.75
Black Gram,8,2006,122.35
Black Gram,9,2006,136.57
Black Gram,10,2006,148.89
Black Gram,11,2006,150.61
Black Gram,12,2006,148.95
White Gram(Kabli Chana),1,2016,182.2
White Gram(Kabli Chana),2,2016,179.12
White Gram(Kabli Chana),3,2016,160.36
White Gram(Kabli Chana),4,2016,184.61
White Gram(Kabli Chana),5,2016,185.1
White Gram(Kabli Chana),6,2016,171.55
White Gram(Kabli Chana),7,2016,167.19
White Gram(Kabli Chana),8,2016,169.73
White Gram(Kabli Chana),9,2016,171.26
